7/1/2019 23:31,b'@sanganisahil Just posted on Twitter and FB \n\n#MumbaiRain #RainDost #NeedHelp #Kurla-LBS-KasbaRest my sister in law\xe2\x80\xa6 https://t.co/C4O0HrYQEc'
,
7/1/2019 23:29,b'RT @Darth_Foodie: Please try to avoid the LBS road leading from Nirmal Lifestyle till Bhandup. Water levels are way above the waist and @Mu\xe2\x80\xa6'
,
7/1/2019 23:29,b'HEAVY RAIN IN KURLA MUMBAI\n#KurlaRain #Kurla #MumbaiRain \nBREAKING NEWS NOW https://t.co/KZXo7lkp1c'
,
7/1/2019 23:29,b'RT @mehtaarpit: #MumbaiRainsLiveUpdates\n\n#JVPD scheme is submerged dont even think of going there unless you are in a boat.\n\nRoad from prit\xe2\x80\xa6'
,
7/1/2019 23:27,b'RT @bharatkavikas: Plz Note At #Bhiwandi.....\n#MumbaiRainsLive \n#MumbaiRain \n#MumbaiRainsLiveUpdates https://t.co/14MQNDmOxP'
,
7/1/2019 23:27,b'RT @MickyGupta84: Here\xe2\x80\x99s what the Western Express Highway looks like right now! @ndtv reporting live tonight #MumbaiRainlive  #MumbaiRain #\xe2\x80\xa6'
,
7/1/2019 23:25,"b""RT @AhmanSayyed: Guys if you are stuck near by Mahim, Bandra or Shivaji park please do contact me on 9773080709  I'll have all necessary ar\xe2\x80\xa6"""
,
7/1/2019 23:25,"b'I mean, at this point, you gotta thank god we don\xe2\x80\x99t have a crocodile problem right? Stay safe, Mumbai #mumbairain'"
,
7/1/2019 23:23,"b'RT @abhijeetg: While the entire #nation #sleeps, #Mumbaikars stay awake to help their fellow #city residents \n\nThat is the true #spirit of\xe2\x80\xa6'"
,
7/1/2019 23:22,b'RT @divyeshkini23: Rain has stopped in Borivali as well as water is receding #MumbaiRainlive\n#MumbaiRainsLiveUpdates \n#MumbaiRain \n#MumbaiR\xe2\x80\xa6'
,
7/1/2019 23:22,"b""#Mumbai is drowning.\nFloods in tilak nagar chembur by 4ft\nWhat's the update \n#MumbaiRains\n#MumbaiRain #Mumbai #mumbaimonsoon"""
,
7/1/2019 23:22,b'#Mumbaikars and those visiting Mumbai\nThis is for your information\n.\n\n#MumbaiRain https://t.co/OMte3qyVku'
,
7/1/2019 23:21,b'#MumbaiRain\nUpdate\nHeavy water logging next to tracks between Nallasopara &amp; Virar.'
,
7/1/2019 23:20,b'Rain has stopped in Borivali as well as water is receding #MumbaiRainlive\n#MumbaiRainsLiveUpdates \n#MumbaiRain \n#MumbaiRains'
,
7/1/2019 23:19,"b""Rest India think that #mumbai citizens are smart &amp; telligent bt it's in there mind due to popularity of city othrwi\xe2\x80\xa6 https://t.co/C5f3kciFwg"""
,
7/1/2019 23:19,b'#MumbaiRain\nUpdate\nWR trains are running currently up &amp; running. 0446 Churchgate fast just left Virar Stn.\n@WesternRly'
,
7/1/2019 23:18,b'Please try to avoid the LBS road leading from Nirmal Lifestyle till Bhandup. Water levels are way above the waist a\xe2\x80\xa6 https://t.co/U85XPWC3kL'
,
7/1/2019 23:18,b'Be Safe Mumbaikars !!\n\n@SkymetWeather #MumbaiRainsLive #MumbaiRains #MumbaiRain #Mumbai #mumbaimonsoon #MumbaiRainsLiveUpdates'
,
7/1/2019 23:17,"b'Mumbai under Rain Storm. Heavy and very Heavy raining here, never seen such dangerous rain in my life. #MumbaiRain\xe2\x80\xa6 https://t.co/owLoXTbzUa'"
,
7/1/2019 23:16,b'Plz Note At #Bhiwandi.....\n#MumbaiRainsLive \n#MumbaiRain \n#MumbaiRainsLiveUpdates https://t.co/14MQNDmOxP'
,
7/1/2019 23:16,"b""RT @chin80: Can't fathom what @mybmc has done in last 3 years by digging Veera Desai Rd THRICE and laying pipes.\nScene rt now, after 1st ra\xe2\x80\xa6"""
,
7/1/2019 23:16,b'Heavy rains and waterlogging in shiv shrishti Kurla east. Water level is dangerously high.\n#mumbaimonsoon\xe2\x80\xa6 https://t.co/puYWgzftio'
,
7/1/2019 23:15,"b""RT @MumbaiMetro3: Even rains can't deter their resolve. MMRC PKG 7 team have successfully completed the 6th pour of concourse slab at the #\xe2\x80\xa6"""
,
7/1/2019 23:15,b'RT @MickyGupta84: Here\xe2\x80\x99s what the Western Express Highway looks like right now! @ndtv reporting live tonight #MumbaiRainlive  #MumbaiRain #\xe2\x80\xa6'
,
